Score,Text,Time
0.25,"In Order To Assure The Outcome He Wants, Fetterman Warns That “Ballot Counting” in Pennsylvania Could Take ‘Several… https://t.co/7n15JrVpsx",2022-11-08T17:59:17.000Z
0.296,"Regardless of what happens this #ElectionDay, I'm going to be PSYCHED to remove this 💩 from my Google Alert list.… https://t.co/kKqEnKKE6I",2022-11-08T17:57:19.000Z
-0.2942,"#PA don’t forget that #MehmetOz is a #Turkish citizen, voted in the Turkey election, and lives in #NJ! Do you think… https://t.co/joUnDddb3o",2022-11-08T17:34:22.000Z
0,"Took my little Republican to the Polls with me to Vote today!🇺🇸

#VoteRedToSaveAmerica #VoteRed2022 #RedWaveComing… https://t.co/a1TzBIU8q5",2022-11-08T17:33:30.000Z
-0.6908,Trevor Noah on Oprah endorsing Dr Oz’s rival: ‘You have to kill the monster you create’ https://t.co/RYY4yT4wva… https://t.co/BEZJsW6Htc,2022-11-08T17:30:31.000Z
0,"RT @ChrisBohjalian: Since 2017, when I lecture in synagogues and Armenian churches about the links between the #ArmenianGenocide and the #H…",2022-11-08T16:55:29.000Z
0.2856,"RT @AndThatAndThis: #DrOz is an American Muslim

Okay, there is nothing wrong with that. 

EXCEPT #MehmetOz ignored his fellow American Mus…",2022-11-08T16:33:45.000Z
0,"“Oz Could Be the First Muslim U.S. Senator, but Some Muslim Americans Are Ambivalent” | The New York Times… https://t.co/ZSGi1XrO2I",2022-11-08T16:30:03.000Z
0.2856,"#DrOz is an American Muslim

Okay, there is nothing wrong with that. 

EXCEPT #MehmetOz ignored his fellow American… https://t.co/4SIZL4E1mk",2022-11-08T16:25:24.000Z
0,https://t.co/ZQ4mduJ1io #SnakeOil #DogFacePonia #ozmel #Fetterman #Oz #OprahsFavoriteThings #Oprah… https://t.co/diWb8aY02K,2022-11-08T15:59:37.000Z
-0.9341,"RT @Roadmaster1253: VOTE NO ON #REPUBLICANS 
VOTE NO ON #MAGA &amp;
VOTE HELL NO ON  #DrOz #MehmetOz THE SNAKE OIL SALESMAN FROM NEW JERSEY..
#…",2022-11-08T15:43:26.000Z
0,Mehmet Öz kimdir? https://t.co/huoh0bMMLk #mehmetoz @mehmetoz https://t.co/lwJOUHz7p1,2022-11-08T14:30:08.000Z
0.0258,"RT @PGPavlos: I hope that American people will wisely avoid today selecting a servant of a criminal rogue state, in the 🇺🇸 US Senate.
#Stop…",2022-11-08T13:05:33.000Z
