Score,Text,Time
0.8436,John Fetterman wins the PA Senate race! A big win for the Dems! #ElectionNight #Election2022 #JohnFetterman #PA #OzLost,2022-11-09T06:14:17.000Z
0.5994,Thank you people of PA for giving us Senator #JohnFetterman,2022-11-09T06:13:44.000Z
0,CNN calls it for #JohnFetterman,2022-11-09T06:13:41.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:12:49.000Z
0.5994,"RT @Joni_Looking: Whooo Hooo

Congratulations 
(D)#JohnFetterman 
 @JohnFetterman 
  On YOUR
      #WIN
        👇
.",2022-11-09T06:12:37.000Z
0.5994,"RT @Joni_Looking: Whooo Hooo

Congratulations 
(D)#JohnFetterman 
 @JohnFetterman 
  On YOUR
      #WIN
        👇
.",2022-11-09T06:12:04.000Z
0.5994,"Whooo Hooo

Congratulations 
(D)#JohnFetterman 
 @JohnFetterman 
  On YOUR
      #WIN
        👇
. https://t.co/JpfotOKcLE",2022-11-09T06:11:58.000Z
0,"Soooo happy!!!!!!

#Elections2022 #ElectionDay #Vote2022 #Midterms2022 #ElectionNight #Senate #House #VoteBlueToday… https://t.co/xr1AiyVQ4Z",2022-11-09T06:11:56.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:11:53.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:11:26.000Z
0.3818,No way #UncleFester beat #DrOz fair and square. If you voted for #JohnFetterman you must be vaccinated &amp; quad boosted. 🤦🏽‍♂️,2022-11-09T06:11:09.000Z
0,Did Pennsylvania just elect a head of cabbage to the US Senate?  #johnfetterman,2022-11-09T06:10:56.000Z
0.6369,"Speaking as someone of Turkish descent who is Muslim, and who would love to see someone who Turkish and/or Muslim a… https://t.co/1VRCiV7eJZ",2022-11-09T06:10:53.000Z
0,"@ireneacelor The writing was on the wall #JohnFetterman is the real deal! 

Unlike this guy Dr Oz with the cheap th… https://t.co/sBd07NIPqQ",2022-11-09T06:10:49.000Z
0.3612,"We bet on the people of #Pennsylvania - and you didn’t let us down 

And I won’t let you down. Thank you.… https://t.co/wnVHXP3C9Y",2022-11-09T06:10:49.000Z
